Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,-0.407546008918242,-1.3935442488808,-2.21965641097275,-2.71294766241586,-2.6954804935256,-2.20436802009669,-1.70677200088966,-1.12804091251677,0.116016612231607,2.1363545952905,4.47689650838849,6.90015617480998,8.54612019554754,8.79088864126614,7.6597770327302,5.88425681193136,4.01946819541008,2.63653889246912,1.9473185295401,2.17043897031679,2.97505284644171,3.90280570094654,4.49671956064979,4.66836149396509,4.3215392956708,3.68273179651497,2.99047809385985,2.49384229934363,2.26827714453847,2.39702099079878,2.74657628012835,3.14312590262153,3.40758697372751,3.49458904891961,3.35558166118149,3.07708359546317,2.77831740938728,2.54834664435549,2.38476110022344,2.31181721714573,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,38041754,..
Albania,ALB,Population growth (annual %),SP.POP.GROW,2.04796386136191,2.00297430640894,2.11327178253342,2.12088533357751,2.10393661802013,2.05599460887143,1.93322081083734,1.99703995612751,1.88671052887888,2.68786198874035,1.79908559333186,-0.602809679480026,-0.606434726201759,-0.610165792730247,-0.613880506929603,-0.617703658436963,-0.62151139901728,-0.625430096900055,-0.629334392525913,-0.63335227398725,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,..
Albania,ALB,"Population, total",SP.POP.TOTL,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,..
Algeria,DZA,Population growth (annual %),SP.POP.GROW,3.03090472527547,3.08704800852557,3.12162711240806,3.12371195818026,3.08758016794359,3.02286094051312,2.94697219159109,2.86684602165527,2.77584895427799,2.67514474264032,2.56645657133517,2.46031589342803,2.35032732559065,2.22162937165606,2.07085775129983,1.90982147845309,1.75317579614436,1.61528329807518,1.50088576780198,1.41626567134276,1.35840780581394,1.30984253035285,1.27506554250519,1.27591463464404,1.31784619068686,1.38990052346238,1.47112298248818,1.55138258255494,1.63619266255068,1.72209322425389,1.80501869558372,1.88331383359771,1.95141520944077,2.00272783896316,2.03359245164506,2.04538724285729,2.05135458384022,2.0449525028769,2.00737383000812,1.93395019121501,..
Algeria,DZA,"Population, total",SP.POP.TOTL,19221665,19824301,20452902,21101875,21763575,22431502,23102389,23774284,24443467,25106190,25758869,26400479,27028326,27635515,28213774,28757785,29266405,29742979,30192754,30623406,31042235,31451514,31855109,32264157,32692163,33149724,33641002,34166972,34730608,35333881,35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429,43053054,..
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,2.48419529085143,3.18051737767249,3.69058470524453,4.04650330820288,4.12657057988996,4.06174724738579,3.96887328692488,3.8664948105953,3.6819611007044,3.43795286697384,3.11690700845574,2.78675147783783,2.45698647931019,2.22768734898439,2.08512621504816,2.0256069940163,1.95587950788337,1.8459475835551,1.70572937649124,1.55800508932696,1.33713711153801,1.15721533829325,0.996827278798957,0.715107951953511,0.297017460458198,-0.199592495165648,-0.766842612103022,-1.2632965609983,-1.50705874156413,-1.41714655445276,-1.07129312461534,-0.572257860972145,-0.165132053391348,0.0826001124356282,0.139905317697601,0.0376333973958491,-0.127293769933909,-0.217311352480231,-0.279065761519574,-0.276230801135428,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,32646,33701,34968,36412,37946,39519,41119,42740,44343,45894,47347,48685,49896,51020,52095,53161,54211,55221,56171,57053,57821,58494,59080,59504,59681,59562,59107,58365,57492,56683,56079,55759,55667,55713,55791,55812,55741,55620,55465,55312,..
Andorra,AND,Population growth (annual %),SP.POP.GROW,3.52438254092144,3.89626131306246,4.21395261940921,4.38424322371306,4.40165341781343,4.33944334402962,4.20839781528901,4.08176950076047,4.00300186229743,3.91566517519316,3.85436230887431,3.88967903964987,3.83747187097437,3.47610065377555,2.75962128912424,1.85420282931456,0.795573964563408,-0.0512872329347217,-0.288007422613352,0.354831049582302,1.57216555086599,2.93999220643334,3.94257335261145,4.37544919255239,4.09892347776702,3.38241655431066,2.65998417750171,2.06633817520392,1.41464777938348,0.714097791683428,-0.0165766790187245,-0.834745268940163,-1.58872960217896,-2.02579215804424,-1.95147048010444,-1.52905843773571,-0.91946973790053,-0.383673622609079,0.00649321134981403,0.176453843432831,..
Andorra,AND,"Population, total",SP.POP.TOTL,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001,77006,77142,..
