Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,-0.407546009,-1.393544249,-2.219656411,-2.712947662,-2.695480494,-2.20436802,-1.706772001,-1.128040913,0.116016612,2.136354595,4.476896508,6.900156175,8.546120196,8.790888641,7.659777033,5.884256812,4.019468195,2.636538892,1.94731853,2.17043897,2.975052846,3.902805701,4.496719561,4.668361494,4.321539296,2.3847611,2.311817217,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,37172386,38041754,38928000,39835000,40754000,41681000,42609000,43532000
Albania,ALB,Population growth (annual %),SP.POP.GROW,2.047963861,2.002974306,2.113271783,2.120885334,2.103936618,2.055994609,1.933220811,1.997039956,1.886710529,2.687861989,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.246732042,-0.426007367,..,..,..,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,2866376,2854191,2850000,2844000,2837000,2828000,2820000,2811000
Algeria,DZA,Population growth (annual %),SP.POP.GROW,3.030904725,3.087048009,3.121627112,3.123711958,3.087580168,3.022860941,2.946972192,2.866846022,2.775848954,2.675144743,2.566456571,2.460315893,2.350327326,2.221629372,2.070857751,1.909821478,1.753175796,1.615283298,1.500885768,1.416265671,1.358407806,1.30984253,1.275065543,1.275914635,1.317846191,2.00737383,1.933950191,..,..,..,..,..,..
Algeria,DZA,"Population, total",SP.POP.TOTL,19221665,19824301,20452902,21101875,21763575,22431502,23102389,23774284,24443467,25106190,25758869,26400479,27028326,27635515,28213774,28757785,29266405,29742979,30192754,30623406,31042235,31451514,31855109,32264157,32692163,42228429,43053054,43851000,44617000,45350000,46053000,46731000,47388000
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,2.484195291,3.180517378,3.690584705,4.046503308,4.12657058,4.061747247,3.968873287,3.866494811,3.681961101,3.437952867,3.116907008,2.786751478,2.456986479,2.227687349,2.085126215,2.025606994,1.955879508,1.845947584,1.705729376,1.558005089,1.337137112,1.157215338,0.996827279,0.715107952,0.29701746,-0.279065762,-0.276230801,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,32646,33701,34968,36412,37946,39519,41119,42740,44343,45894,47347,48685,49896,51020,52095,53161,54211,55221,56171,57053,57821,58494,59080,59504,59681,55465,55312,55000,55000,55000,55000,55000,55000
Andorra,AND,Population growth (annual %),SP.POP.GROW,3.524382541,3.896261313,4.213952619,4.384243224,4.401653418,4.339443344,4.208397815,4.081769501,4.003001862,3.915665175,3.854362309,3.88967904,3.837471871,3.476100654,2.759621289,1.854202829,0.795573965,-0.051287233,-0.288007423,0.35483105,1.572165551,2.939992206,3.942573353,4.375449193,4.098923478,0.006493211,0.176453843,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,77006,77142,77000,77000,77000,78000,78000,78000
