region,Year,longitude,latitude,Population growth (annual %),"Population, total","Current account balance, Percent of GDP, ","Employment, Persons, Millions","General government gross debt, Percent of GDP, ","General government net debt, National currency, Billions","General government net debt, Percent of GDP, ","General government net lending/borrowing, Percent of GDP, ","General government revenue, Percent of GDP, ","General government structural balance, National currency, Billions","General government structural balance, Percent of potential GDP, ","General government total expenditure, Percent of GDP, ","Gross domestic product per capita, constant prices, National currency, Units","Gross domestic product per capita, constant prices, Purchasing power parity; 2017 international dollar, Units","Gross domestic product per capita, current prices, Purchasing power parity; international dollars, Units","Gross domestic product per capita, current prices, U.S. dollars, Units","Gross domestic product, current prices, Purchasing power parity; international dollars, Billions","Gross domestic product, current prices, U.S. dollars, Billions","Gross national savings, Percent of GDP, ","Population, Persons, Millions","Six-month London interbank offered rate (LIBOR), Percent, ","Total investment, Percent of GDP, ","Unemployment rate, Percent of total labor force, "
East Asia & Pacific,1980.0,102.0805036216216,4.3911238459459465,1.947837837837838,41661914.0,-2.6715789473684213,13.359999999999998,48.81,44619.1,17.8,0.29000000000000004,26.005,,,25.715,1463822.7978947368,8329.468947368425,3367.007368421053,2761.9221052631574,100.78047619047622,92.53571428571429,22.197857142857146,78.18263157894735,10.86,29.032666666666664,4.545714285714285
East Asia & Pacific,1981.0,102.0805036216216,4.3911238459459465,2.2810810810810813,42290823.324324325,-3.9431578947368413,13.531666666666666,53.95,57895.0,21.54,-0.79,25.178000000000004,,,27.494999999999997,1548519.1326315792,8642.021578947371,3825.3363157894737,2935.958947368422,115.8447619047619,99.08999999999999,22.34642857142857,79.35894736842103,7.93,31.001333333333335,4.29
East Asia & Pacific,1982.0,102.0805036216216,4.3911238459459465,2.4429729729729726,42981740.64864865,-3.261052631578947,13.731666666666664,58.96,73262.9,25.93,-0.8360000000000001,24.24166666666667,,,26.509999999999998,1598678.6763157889,8758.651578947365,4118.301052631578,2894.603684210527,128.21285714285713,95.85476190476189,22.620000000000005,80.64789473684208,7.06,30.174,4.4314285714285715
East Asia & Pacific,1983.0,102.0805036216216,4.3911238459459465,2.454054054054054,43672629.64864865,-2.4584210526315786,13.896666666666668,64.92,90702.1,30.72,-1.7066666666666668,23.10571428571429,,,25.72333333333333,1668180.1584210526,8940.959473684214,4374.371052631579,2920.6878947368427,139.85999999999999,102.28809523809521,22.815,81.81157894736845,6.55,29.28933333333333,5.03
East Asia & Pacific,1984.0,102.0805036216216,4.3911238459459465,2.4489189189189187,44329780.027027026,0.043157894736842374,13.988333333333332,66.97,51893.755,93.33,-1.8033333333333335,23.88714285714286,,,26.578333333333333,1768121.432631579,9457.106842105262,4793.277894736841,3116.3810526315797,154.6461904761905,109.46666666666667,23.585000000000004,82.97421052631577,6.46,28.070666666666668,4.532500000000001
East Asia & Pacific,1985.0,102.0805036216216,4.3911238459459465,2.375135135135135,45002804.567567565,2.5519999999999996,14.191666666666665,44.63333333333333,57505.935,80.16499999999999,1.8175000000000006,31.743333333333332,3.1449999999999996,2.89,31.686249999999998,1748602.2259999998,13206.594000000003,7524.953499999999,3828.0445,161.73681818181817,105.17590909090913,21.748571428571427,80.01899999999998,6.56,27.42066666666667,4.856
East Asia & Pacific,1986.0,102.0805036216216,4.3911238459459465,2.333513513513513,45718341.16216216,5.8515,14.411666666666667,48.04333333333333,65394.545,70.09,-2.4537500000000003,28.79888888888889,4.075,2.99,32.96125,1826376.9424999997,13287.888500000001,7690.933999999999,3674.3333333333326,173.4504545454545,131.90565217391307,20.429333333333332,77.79238095238095,5.02,25.725625,5.2727272727272725
East Asia & Pacific,1987.0,102.0805036216216,4.3911238459459465,2.3583783783783785,46471751.24324324,5.8255,14.693333333333335,46.74666666666667,63165.58,55.769999999999996,-3.945,27.44222222222222,6.095,3.5,32.99875,1841686.5171428567,13036.342857142861,7704.348095238094,4305.98142857143,181.97695652173914,157.37391304347827,24.696666666666673,79.08,4.27,26.090625,5.432727272727273
East Asia & Pacific,1988.0,102.0805036216216,4.3911238459459465,2.2851351351351354,47232170.75675676,3.9680000000000013,14.998333333333333,32.525,57085.86,46.845,-3.17,28.668181818181814,7.82,3.55,31.952222222222222,1928792.6795238096,13366.093333333332,8149.098571428573,4968.730476190477,203.55173913043475,190.4673913043478,24.471333333333337,80.33333333333333,4.56,26.403750000000002,5.125454545454545
East Asia & Pacific,1989.0,102.0805036216216,4.3911238459459465,2.2002702702702694,47975780.83783784,2.7539999999999996,15.365,28.631999999999998,32053.22333333334,30.816666666666666,-2.864,28.977500000000003,3.9749999999999996,1.56,30.922000000000004,2045238.5866666667,13763.540476190483,8705.560952380954,5287.992857142856,223.4321739130434,196.75478260869568,24.75600000000001,81.57142857142856,5.5,27.893124999999998,4.568181818181818
