region,Year,longitude,latitude,Population growth (annual %),"Population, total","Current account balance, Percent of GDP, ","Employment, Persons, Millions","General government gross debt, Percent of GDP, ","General government net debt, National currency, Billions","General government net debt, Percent of GDP, ","General government net lending/borrowing, Percent of GDP, ","General government revenue, Percent of GDP, ","General government structural balance, National currency, Billions","General government structural balance, Percent of potential GDP, ","General government total expenditure, Percent of GDP, ","Gross domestic product per capita, constant prices, National currency, Units","Gross domestic product per capita, constant prices, Purchasing power parity; 2017 international dollar, Units","Gross domestic product per capita, current prices, Purchasing power parity; international dollars, Units","Gross domestic product per capita, current prices, U.S. dollars, Units","Gross domestic product, current prices, Purchasing power parity; international dollars, Billions","Gross domestic product, current prices, U.S. dollars, Billions","Gross national savings, Percent of GDP, ","Population, Persons, Millions","Six-month London interbank offered rate (LIBOR), Percent, ","Total investment, Percent of GDP, ","Unemployment rate, Percent of total labor force, ",GDP per capita growth rate,Investment growth rate
East Asia & Pacific,1980,102.0805036,4.391123846,1.947837838,41661914,-2.671578947,13.36,48.81,44619.1,17.8,0.29,26.005,,,25.715,1463822.798,8329.468947,3367.007368,2761.922105,100.7804762,92.53571429,22.19785714,78.18263158,10.86,29.03266667,4.545714286,,
East Asia & Pacific,1981,102.0805036,4.391123846,2.281081081,42290823.32,-3.943157895,13.53166667,53.95,57895,21.54,-0.79,25.178,,,27.495,1548519.133,8642.021579,3825.336316,2935.958947,115.8447619,99.09,22.34642857,79.35894737,7.93,31.00133333,4.29,0.037523717,0.067808675
East Asia & Pacific,1982,102.0805036,4.391123846,2.442972973,42981740.65,-3.261052632,13.73166667,58.96,73262.9,25.93,-0.836,24.24166667,,,26.51,1598678.676,8758.651579,4118.301053,2894.603684,128.2128571,95.8547619,22.62,80.64789474,7.06,30.174,4.431428571,0.013495685,-0.026687024
East Asia & Pacific,1983,102.0805036,4.391123846,2.454054054,43672629.65,-2.458421053,13.89666667,64.92,90702.1,30.72,-1.706666667,23.10571429,,,25.72333333,1668180.158,8940.959474,4374.371053,2920.687895,139.86,102.2880952,22.815,81.81157895,6.55,29.28933333,5.03,0.020814607,-0.02931884
East Asia & Pacific,1984,102.0805036,4.391123846,2.448918919,44329780.03,0.043157895,13.98833333,66.97,51893.755,93.33,-1.803333333,23.88714286,,,26.57833333,1768121.433,9457.106842,4793.277895,3116.381053,154.6461905,109.4666667,23.585,82.97421053,6.46,28.07066667,4.5325,0.057728409,-0.041607866
East Asia & Pacific,1985,102.0805036,4.391123846,2.375135135,45002804.57,2.552,14.19166667,44.63333333,57505.935,80.165,1.8175,31.74333333,3.145,2.89,31.68625,1748602.226,13206.594,7524.9535,3828.0445,161.7368182,105.1759091,21.74857143,80.019,6.56,27.42066667,4.856,0.396472962,-0.023155845
East Asia & Pacific,1986,102.0805036,4.391123846,2.333513514,45718341.16,5.8515,14.41166667,48.04333333,65394.545,70.09,-2.45375,28.79888889,4.075,2.99,32.96125,1826376.943,13287.8885,7690.934,3674.333333,173.4504545,131.9056522,20.42933333,77.79238095,5.02,25.725625,5.272727273,0.006155599,-0.061816209
East Asia & Pacific,1987,102.0805036,4.391123846,2.358378378,46471751.24,5.8255,14.69333333,46.74666667,63165.58,55.77,-3.945,27.44222222,6.095,3.5,32.99875,1841686.517,13036.34286,7704.348095,4305.981429,181.9769565,157.373913,24.69666667,79.08,4.27,26.090625,5.432727273,-0.018930445,0.014188188
East Asia & Pacific,1988,102.0805036,4.391123846,2.285135135,47232170.76,3.968,14.99833333,32.525,57085.86,46.845,-3.17,28.66818182,7.82,3.55,31.95222222,1928792.68,13366.09333,8149.098571,4968.730476,203.5517391,190.4673913,24.47133333,80.33333333,4.56,26.40375,5.125454545,0.025294707,0.012001437
East Asia & Pacific,1989,102.0805036,4.391123846,2.20027027,47975780.84,2.754,15.365,28.632,32053.22333,30.81666667,-2.864,28.9775,3.975,1.56,30.922,2045238.587,13763.54048,8705.560952,5287.992857,223.4321739,196.7547826,24.756,81.57142857,5.5,27.893125,4.568181818,0.029735476,0.056407707
East Asia & Pacific,1990,102.0805036,4.391123846,2.1,48700395,0.124,15.69333333,37.94625,29398.16667,29.02,-1.051538462,31.22428571,-3.585,-0.116666667,33.38384615,2168695.732,13656.38727,8945.927727,5502.569091,244.3569565,202.07,25.308,79.2,7.84,25.48375,5.136666667,-0.007785294,-0.086378812
East Asia & Pacific,1991,102.0805036,4.391123846,1.9875,49397807.43,0.394285714,15.96333333,35.81666667,28365.79333,32.54666667,-0.495,30.57666667,1.586,0.655,32.14571429,2277170.47,13860.11773,9386.555,5908.452727,266.6708696,226.9873913,25.28533333,80.26863636,7.16,26.173125,5.505833333,0.014918327,0.027051552
East Asia & Pacific,1992,102.0805036,4.391123846,1.836216216,50048524.05,-0.633636364,16.135,37.71,24477.4,37.695,-2.095,29.28352941,0.902,0.235,32.253125,2371385.475,14205.74045,9838.82,6286.090455,287.4678261,248.4352174,26.71933333,81.28636364,4.32,26.239375,5.530833333,0.024936493,0.002531222
East Asia & Pacific,1993,102.0805036,4.391123846,1.747837838,50676316.24,-0.647727273,16.22666667,40.40818182,29889.4825,38.11,-2.237058824,28.35882353,3.738,0.47,30.59294118,2485022.235,14574.10818,10308.02409,6725.175,310.19,282.23,27.22533333,82.295,2.96,27.853125,5.468333333,0.025930906,0.061501084
East Asia & Pacific,1994,102.0805036,4.391123846,1.714324324,51304930.84,0.44,16.40833333,39.7925,38104.315,37.9875,-2.147647059,28.15117647,-2882.525,-0.282,30.3,2635217.533,15133.38545,10911.53,7460.041364,336.7313043,308.9482609,27.22733333,83.30454545,2.36,27.77625,5.364166667,0.038374717,-0.002760013
