region,Year,longitude,latitude,Population growth (annual %),"Population, total","Current account balance, Percent of GDP, ","Employment, Persons, Millions","General government gross debt, Percent of GDP, ","General government net debt, National currency, Billions","General government net debt, Percent of GDP, ","General government net lending/borrowing, Percent of GDP, ","General government revenue, Percent of GDP, ","General government structural balance, National currency, Billions","General government structural balance, Percent of potential GDP, ","General government total expenditure, Percent of GDP, ","Gross domestic product per capita, constant prices, National currency, Units","Gross domestic product per capita, constant prices, Purchasing power parity; 2017 international dollar, Units","Gross domestic product per capita, current prices, Purchasing power parity; international dollars, Units","Gross domestic product per capita, current prices, U.S. dollars, Units","Gross domestic product, current prices, Purchasing power parity; international dollars, Billions","Gross domestic product, current prices, U.S. dollars, Billions","Gross national savings, Percent of GDP, ","Population, Persons, Millions","Six-month London interbank offered rate (LIBOR), Percent, ","Total investment, Percent of GDP, ","Unemployment rate, Percent of total labor force, ",GDP per capita growth rate,Investment growth rate,Date,Classification,Revenue,Other Revenue,  Total Revenue,Cost Of Goods Sold,  Gross Profit,Selling General & Admin Exp.,R & D Exp.,Depreciation & Amort.,Other Operating Expense/(Income),"  Other Operating Exp., Total",  Operating Income,Interest Expense,Interest and Invest. Income,  Net Interest Exp.,Income/(Loss) from Affiliates,Currency Exchange Gains (Loss),Other NonOperating Inc. (Exp.),  EBT Excl. Unusual Items,Restructuring Charges,Merger & Related Restruct. Charges,Impairment of Goodwill,Gain (Loss) On Sale Of Invest.,Gain (Loss) On Sale Of Assets,Asset Writedown,Legal Settlements,Other Unusual Items,  EBT Incl. Unusual Items,Income Tax Expense,  Earnings from Cont. Ops.,Earnings of Discontinued Ops.,Extraord. Item & Account. Change,  Net Income to Company,Minority Int. in Earnings,  Net Income,Pref. Dividends and Other Adj.,Unnamed: 38,  NI to Common Incl Extra Items,  NI to Common Excl. Extra Items,Per Share Items,Basic EPS,Basic EPS Excl. Extra Items,Weighted Avg. Basic Shares Out.,Diluted EPS,Diluted EPS Excl. Extra Items,Weighted Avg. Diluted Shares Out.,Normalized Basic EPS,Normalized Diluted EPS,Dividends per Share,Payout Ratio %,Shares per Depository Receipt,EBITDA,EBITA,EBIT,EBITDAR,As Reported Total Revenue*,Effective Tax Rate %,Current Domestic Taxes,Current Foreign Taxes,Total Current Taxes,Deferred Domestic Taxes,Total Deferred Taxes,Normalized Net Income,Interest Capitalized,Interest on Long Term Debt,NonCash Pension Expense,Filing Date,Restatement Type,Calculation Type,Supplemental Operating Expense Items,Advertising Exp.,Selling and Marketing Exp.,General and Administrative Exp.,Net Rental Exp.,Imputed Oper. Lease Interest Exp.,Imputed Oper. Lease Depreciation,Unnamed: 78,"StockBased Comp., COGS","  StockBased Comp., Total",U.S. GAAP Summary,Net Income ,NI to Common Incl. Extra Items,Diluted Net Income,Basic EPS Incl. Extra Items,Basic EPS Excl. Extra Items.1,Weighted Avg. Basic Shares Out..1,Diluted EPS Incl. Extra Items,Diluted EPS Excl. Extra Items.1,Weighted Avg. Diluted Shares Out..1,regional_revenues,log_GDP_per_capita,log_Population_total,log_Investment_total_perc_gdp,log_Net_Income,log_regional_revenues,investment_total_perc_gdp,five_other_regions,east_asia,south_asia
East Asia & Pacific,1980.0,102.08050362162159,4.3911238459459465,1.9478378378378385,41661914.0,-2.6715789473684213,13.359999999999998,48.81,44619.1,17.8,0.29000000000000004,26.005,,,25.715,1463822.797894737,8329.468947368425,3367.007368421053,2761.922105263157,100.78047619047622,92.53571428571428,22.197857142857146,78.18263157894734,10.86,29.032666666666664,4.545714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02755498131214,17.545097936092674,3.3684216328142,,,29.032666666666664,0,1,0
East Asia & Pacific,1981.0,102.08050362162159,4.3911238459459465,2.2810810810810813,42290823.32432433,-3.9431578947368413,13.531666666666665,53.95,57895.0,21.54,-0.79,25.178000000000004,,,27.495,1548519.132631579,8642.021578947371,3825.3363157894732,2935.9589473684223,115.84476190476192,99.09,22.34642857142857,79.35894736842103,7.93,31.00133333333333,4.29,0.037523716524292094,0.06780867528531087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.064391813474108,17.56008067779367,3.4340302143128985,,,31.00133333333333,0,1,0
East Asia & Pacific,1982.0,102.08050362162159,4.3911238459459465,2.4429729729729734,42981740.64864865,-3.2610526315789468,13.731666666666666,58.96,73262.9,25.93,-0.8360000000000001,24.24166666666667,,,26.51,1598678.6763157886,8758.651578947365,4118.3010526315775,2894.603684210527,128.21285714285713,95.85476190476187,22.620000000000005,80.64789473684208,7.06,30.174,4.431428571428572,0.013495684885133086,-0.026687024214012256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.077797242738193,17.576285947396467,3.406980626417883,,,30.174,0,1,0
East Asia & Pacific,1983.0,102.08050362162159,4.3911238459459465,2.4540540540540543,43672629.64864865,-2.4584210526315786,13.896666666666668,64.92,90702.1,30.72,-1.7066666666666668,23.10571428571429,,,25.72333333333333,1668180.1584210524,8940.959473684214,4374.371052631579,2920.687894736843,139.86,102.28809523809521,22.815,81.81157894736845,6.55,29.28933333333333,5.03,0.020814607487646963,-0.029318839619098206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09839818608711,17.59223214001356,3.3772233996838295,,,29.28933333333333,0,1,0
East Asia & Pacific,1984.0,102.08050362162159,4.3911238459459465,2.4489189189189187,44329780.02702703,0.04315789473684237,13.988333333333333,66.97,51893.755,93.33,-1.8033333333333328,23.88714285714286,,,26.57833333333333,1768121.432631579,9457.106842105262,4793.277894736841,3116.38105263158,154.6461904761905,109.46666666666668,23.585000000000004,82.97421052631576,6.46,28.07066666666667,4.5325000000000015,0.057728409343562825,-0.041607866344971815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.154521784625931,17.607167244539447,3.3347251402401996,,,28.07066666666667,0,1,0
East Asia & Pacific,1985.0,102.08050362162159,4.3911238459459465,2.375135135135135,45002804.56756757,2.552,14.191666666666665,44.63333333333333,57505.935,80.16499999999998,1.8175000000000008,31.74333333333333,3.145,2.89,31.68625,1748602.2259999998,13206.594000000005,7524.953499999999,3828.0445,161.73681818181817,105.17590909090912,21.748571428571424,80.01899999999998,6.56,27.42066666666667,4.856,0.3964729616039806,-0.023155844772716597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.488471529297716,17.622235369516275,3.3112969869920246,,,27.42066666666667,0,1,0
East Asia & Pacific,1986.0,102.08050362162159,4.3911238459459465,2.333513513513513,45718341.16216216,5.8515,14.411666666666667,48.04333333333333,65394.545,70.09,-2.4537500000000003,28.79888888888889,4.075,2.99,32.96125,1826376.9425,13287.8885,7690.9339999999975,3674.333333333333,173.45045454545448,131.90565217391307,20.42933333333333,77.79238095238095,5.02,25.725625,5.2727272727272725,0.006155599240803111,-0.061816209185286075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.494608260228425,17.63801011369027,3.2474875768574427,,,25.725625,0,1,0
East Asia & Pacific,1987.0,102.08050362162159,4.3911238459459465,2.3583783783783785,46471751.24324324,5.8255,14.693333333333335,46.74666666666667,63165.58,55.77,-3.945,27.442222222222213,6.095,3.5,32.99875,1841686.517142857,13036.34285714286,7704.348095238094,4305.981428571429,181.9769565217392,157.37391304347827,24.69666666666668,79.08,4.27,26.090625,5.4327272727272735,-0.018930445033245147,0.014188187847719913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.475496340405,17.654355185809298,3.261576054400228,,,26.090625,0,1,0
East Asia & Pacific,1988.0,102.08050362162159,4.3911238459459465,2.2851351351351354,47232170.75675676,3.9680000000000013,14.998333333333333,32.525,57085.86,46.845,-3.17,28.66818181818181,7.82,3.55,31.952222222222233,1928792.6795238096,13366.093333333332,8149.098571428573,4968.730476190477,203.55173913043475,190.4673913043478,24.47133333333333,80.33333333333333,4.56,26.40375,5.125454545454545,0.02529470725064553,0.012001437297880058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50047643093855,17.67058580221261,3.2735060455193157,,,26.40375,0,1,0
East Asia & Pacific,1989.0,102.08050362162159,4.3911238459459465,2.200270270270269,47975780.83783784,2.7539999999999996,15.365,28.631999999999998,32053.22333333334,30.816666666666666,-2.864,28.97750000000001,3.975,1.56,30.922000000000004,2045238.586666667,13763.540476190483,8705.560952380954,5287.992857142855,223.4321739130434,196.75478260869568,24.75600000000001,81.57142857142857,5.5,27.893125,4.568181818181818,0.029735475650612738,0.05640770723855515,Mar311989,‡12,4257.0,,4257.0,3013.0,1244.0,603.0,,305.0,,908.0,336.0,71.0,16.0,55.0,,15.0,2.0,268.0,,,,,,,,,268.0,93.0,175.0,,,175.0,,175.0,,,175.0,175.0,,0.159384,0.159384,1098.4179,0.159384,0.159384,1098.4179,0.152492,0.152492,,,,641.0,336.0,336.0,,,0.347014,,,90.0,,6.0,167.5,26.0,,,1989-05-30,O,REP,,,,,,,,,,,,,,,,,,,,,,9.529778380439566,17.68620687565759,3.328380242691356,5.1647859739235145,,27.893125,0,1,0
